algorithm,avg_queue,p99_queue,total_throughput,fairness
reno,89.53347433816184,117.65546875,1000.0,1.0
dctcp,100.76458327286574,242.79802999212032,1000.0,1.0
risk_ecn,71.87380780415862,110.2807424984524,1000.0,1.0
